,시점,const,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,달러결제수출비율,달러결제수입비율,달러결제순수입액,KO/US M2,BIRDIFF,TNDIFF,EIRDIFF,KRW/USD
0,200501,1.0,95.3,106.39,0.25,0.823,0.779,-3319.300000000001,148.5575646851236,-1.0,-0.2919999999999998,1.5,1006.0
1,200502,1.0,108.1,110.62,0.21,0.8290000000000001,0.779,-2591.2999999999993,151.54003465663394,-0.75,-0.5030000000000001,1.7000000000000002,1015.5
2,200503,1.0,110.9,103.98,0.24,0.82,0.789,-1680.5,150.13830066977062,-0.5,-0.2889999999999997,1.5,997.1
3,200504,1.0,110.4,100.87,0.26,0.825,0.7859999999999999,-2170.7000000000007,151.78813207750102,-0.5,-0.492,1.5,1007.7
4,200505,1.0,103.8,101.94,0.16,0.826,0.7979999999999999,-2202.7999999999993,152.82171274652464,-0.25,-0.43900000000000006,1.3999999999999995,1025.4
5,200506,1.0,102.1,102.04,0.11,0.825,0.792,-2694.5999999999985,153.53595012131822,0.0,-0.5470000000000002,1.2000000000000002,1026.8
6,200507,1.0,99.1,108.8,0.11,0.833,0.795,-2260.100000000002,154.1632137443153,0.0,-0.6139999999999999,1.2999999999999998,1038.5
7,200508,1.0,103.3,97.81,0.16,0.845,0.797,-2178.9000000000015,153.17376048817695,0.25,-1.0659999999999998,1.2000000000000002,1041.1
8,200509,1.0,106.7,109.38,0.15,0.841,0.795,-2576.4000000000015,152.41858311702111,0.5,-0.8260000000000005,1.0,1040.2
9,200510,1.0,105.4,105.65,0.12,0.8270000000000001,0.7979999999999999,-2897.5999999999985,151.6346636432351,0.25,-0.8090000000000002,1.1,1033.5
10,200511,1.0,109.3,117.05,0.13,0.8270000000000001,0.8059999999999999,-2146.7000000000007,152.37201195967367,0.5,-1.1959999999999997,1.4,1011.6
11,200512,1.0,112.3,115.34,0.07,0.831,0.8,-1955.7999999999993,152.25278361579396,0.5,-1.2089999999999996,1.4000000000000004,964.6
12,200601,1.0,114.9,112.09,0.09,0.821,0.8270000000000001,14.5,152.74562776758955,0.75,-1.0650000000000004,1.3000000000000003,970.9
13,200602,1.0,116.4,100.82,0.12,0.836,0.8059999999999999,-935.7999999999993,154.0203741709051,0.5,-0.7290000000000001,1.2999999999999998,971.6
14,200603,1.0,117.1,99.82,0.07,0.83,0.804,-1428.2999999999993,153.02457074756867,0.75,-0.5729999999999995,1.2000000000000002,943.4
15,200604,1.0,115.6,98.84,0.22,0.84,0.802,-1873.2999999999993,153.03804609262255,0.75,-0.40000000000000036,1.3000000000000003,945.6
16,200605,1.0,109.4,93.12,0.23,0.836,0.804,-2273.5,156.56351494469286,1.0,-0.0810000000000004,1.1999999999999997,948.9
17,200606,1.0,104.5,90.33,0.23,0.838,0.805,-2468.2000000000007,157.9420907459027,1.0,-0.11399999999999988,1.0999999999999996,955.2
18,200607,1.0,103.2,88.26,0.24,0.851,0.8079999999999999,-1270.5999999999985,156.594739292365,1.0,-0.18100000000000005,1.2000000000000002,961.5
